Year and Model,Price,Location
2012 BMW M3,"$20,888","Colorado Springs, CO"
2016 BMW M3,"$34,200","Midvale, UT"
2015 BMW M3,"$27,000","Laurel, MD"
2013 BMW M3,"$34,888","Topeka, KS"
2013 BMW M3,"$45,980","Champaign, IL"
2008 BMW M3,"$21,995","Freehold, NJ"
2002 BMW M3,"$22,498","Plainfield, IL"
2013 BMW M3,"$28,745","Lillington, NC"
2009 BMW M3,"$24,488","Crystal Lake, IL"
2002 BMW M3,"$14,180","Villa Park, IL"
2008 BMW M3,"$16,900","Jacksonville, FL"
2015 BMW M3,"$32,994","Sarasota, FL"
2016 BMW M3,"$47,485","Burien, WA"
2018 BMW M3,"$50,990","Salem, OR"
2015 BMW M3,"$31,395","Yakima, WA"
2008 BMW M3,"$23,999","Portland, OR"
2013 BMW M3,"$37,999","Lynnwood, WA"
2018 BMW M3,"$46,598","Hollywood, FL"
2016 BMW M3,"$39,999","Kent, WA"
2018 BMW M3,"$49,997","Mooresville, NC"
2012 BMW M3,"$41,595","Scottsdale, AZ"
2017 BMW M3,"$47,777","Southfield, MI"
2011 BMW M3,"$14,988","Hollywood, FL"
2006 BMW M3,"$20,575","Flint, MI"
2011 BMW M3,"$20,990","Mason, OH"
2018 BMW M3,"$51,977","Cary, NC"
2011 BMW M3,"$19,999","Naples, FL"
2012 BMW M3,"$39,981","Franklin, TN"
2013 BMW M3,"$49,995","Brea, CA"
2001 BMW M3,"$19,800","Franklin Park, IL"
2006 BMW M3,"$22,650","Mooresville, NC"
2008 BMW M3,"$34,800","Franklin Park, IL"
2018 BMW M3,"$46,500","Jacksonville, FL"
2013 BMW M3,"$49,990","Acton, MA"
2018 BMW M3,"$43,297","Lynnwood, WA"
2011 BMW M3,"$20,495","Long Beach, CA"
2004 BMW M3,"$17,988","Tigard, OR"
2008 BMW M3,"$28,950","Frankfort, IL"
2008 BMW M3,"$17,999","Anchorage, AK"
2008 BMW M3,"$21,894","Hillside, NJ"
2013 BMW M3,"$24,994","Sterling, VA"
2006 BMW M3,"$23,785","San Juan Capistrano, CA"
2016 BMW M3,"$37,991","Carrollton, TX"
2008 BMW M3,"$28,800","Franklin Park, IL"
2013 BMW M3,"$38,999","Kent, WA"
2010 BMW M3,"$16,499","Hayward, CA"
2009 BMW M3,"$27,999","Dallas, TX"
2008 BMW M3,"$17,500","Cumming, GA"
2008 BMW M3,"$14,281","Stafford, VA"
2013 BMW M3,"$30,750","Middleton, WI"
2006 BMW M3,"$15,995","Yonkers, NY"
2017 BMW M3,"$43,488","Scottsdale, AZ"
2015 BMW M3,"$32,995","Ocoee, FL"
2003 BMW M3,"$19,732","Roswell, GA"
2012 BMW M3,"$18,995","Scottsdale, AZ"
2017 BMW M3,"$50,998","Mooresville, NC"
2018 BMW M3,"$44,883","Olathe, KS"
2002 BMW M3,"$28,385","Placentia, CA"
2013 BMW M3,"$32,500","Barrington, IL"
2004 BMW M3,"$17,988","Tigard, OR"
2018 BMW M3,"$49,347","Thomaston, CT"
2017 BMW M3,"$49,768","San Jose, CA"
2003 BMW M3,"$14,500","Cedar Park, TX"
2017 BMW M3,"$41,984","Silver Spring, MD"
2015 BMW M3,"$37,995","Arlington Heights, IL"
2008 BMW M3,"$26,995","Rockaway, NJ"
2012 BMW M3,"$20,800","West Branch, MI"
2018 BMW M3,"$46,299","Wesley Chapel, FL"
1998 BMW M3,"$22,855","Rehoboth, MA"
2018 BMW M3,"$47,990","Orlando, FL"
2004 BMW M3,"$18,900","Crestwood, IL"
2015 BMW M3,"$42,990","Troutdale, OR"
2013 BMW M3,"$40,498","Carrollton, TX"
2013 BMW M3,"$38,888","Seattle, WA"
2017 BMW M3,"$51,852","Lynnwood, WA"
2010 BMW M3,"$15,970","Raleigh, NC"
2018 BMW M3,"$50,500","Eastchester, NY"
2018 BMW M3,"$50,980","Cincinnati, OH"
2009 BMW M3,"$22,999","Chandler, AZ"
2009 BMW M3,"$39,000","Indianapolis, IN"
2006 BMW M3,"$14,450","Fremont, CA"
2017 BMW M3,"$37,995","Nampa, ID"
2008 BMW M3,"$27,995","Everett, WA"
2008 BMW M3,"$28,995","Commack, NY"
2008 BMW M3,"$17,875","Ashland, OR"
2018 BMW M3,"$45,350","Salisbury, NC"
2013 BMW M3,"$41,995","Joliet, IL"
2015 BMW M3,"$33,445","Eugene, OR"
2003 BMW M3,"$21,995","Fuquay Varina, NC"
2013 BMW M3,"$32,500","Middleton, WI"
2002 BMW M3,"$27,000","San Juan Capistrano, CA"
2016 BMW M3,"$45,900","Cockeysville, MD"
2013 BMW M3,"$26,995","Yonkers, NY"
2017 BMW M3,"$38,222","Chicago, IL"
2017 BMW M3,"$43,500","Wilkes Barre, PA"
2015 BMW M3,"$36,990","Midvale, UT"
2016 BMW M3,"$38,998","Carmel, IN"
2004 BMW M3,"$18,998","Concord, NC"
2012 BMW M3,"$31,945","Hasbrouck Heights, NJ"
